,age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,33.0,10.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.4,93.444,-36.1,4.963,5228.1,0.04735460560693175
1,56.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.4,93.444,-36.1,4.963,5228.1,0.048057722264458806
2,32.0,9.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,1.0,1.4,93.444,-36.1,4.962,5228.1,0.03488920663971107
3,31.0,0.0,0.0,6.0,1.0,0.0,1.0,6.0,3.0,2.0,0.0,1.0,-1.8,92.893,-46.2,1.344,5099.1,0.02401770865276027
4,41.0,9.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.4,94.465,-41.8,4.967,5228.1,0.03490162782844313
5,36.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,1.4,93.918,-42.7,4.968,5228.1,0.055164289263892996
6,45.0,6.0,1.0,6.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,1.4,94.465,-41.8,4.866,5228.1,0.038972873292297046
7,31.0,2.0,1.0,6.0,1.0,0.0,0.0,6.0,2.0,3.0,0.0,1.0,-1.8,92.893,-46.2,1.266,5099.1,0.11501721681731376
8,49.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.4,93.444,-36.1,4.97,5228.1,0.027871467395166962
9,36.0,1.0,1.0,2.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,1.0,1.1,93.994,-36.4,4.859,5191.0,0.034865035268832285
10,30.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.08656297249468789
11,30.0,0.0,1.0,6.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,-2.9,92.201,-31.4,0.873,5076.2,0.23119250449449846
12,39.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.099748889609658
